similitud,child_id,child_nombre,child_tipo,child_registros,child_municipio,child_departamento,parent_id,parent_nombre,parent_registros,parent_municipio,parent_departamento
0.906,650,JUZGADO SÉPTIMO DE PEQUEÑAS CAUSAS Y COMPETENCIAS MÚLTIPLE CALI- VALLE,JUZGADO,231,,Valle del Cauca,242,JUZGADO SÉPTIMO DE PEQUEÑAS CAUSAS Y COMPETENCIAS MÚLTIPLES,591,,
0.899,656,OFICINA DE APOYO PARA LOS JUZGADOS CIVILES MUNICIPALES DE EJECUCIÓN DE SENTENCIAS DE BOGOTÁ,JUZGADO,227,Bogotá,"Bogotá, D.C.",366,Oficina de Apoyo de los Juzgados Civiles Municipales de Ejecución de Sentencia,428,,
0.905,663,Juzgado Treinta y Ocho Civil Municipal de Cali,JUZGADO,225,,Valle del Cauca,415,Juzgado Treinta y Ocho Civil Municipal,379,,
0.852,666,SECRETARÍA DISTRITAL DE SALUD,SECRETARIA,223,,,57,SECRETARIA DISTRITAL DE HACIENDA,1798,,
0.916,670,JUZGADO 48 DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE,JUZGADO,222,,,595,JUZGADO DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE - TULUÁ,256,Tuluá,Valle del Cauca
0.891,676,JUZGADO SEGUNDO DE PEQUEÑAS CAUSAS  Y COMPETENCIA MULTIPLE  IBAGUE - TOLIMA,JUZGADO,220,Ibagué,Tolima,51,Juzgado Segundo de Pequeñas Causas y Competencia Múltiple,2014,,
0.928,680,Juzgado Quinto de Pequeñas Causas y Competencias Múltiples de Neiva,JUZGADO,218,Neiva,Huila,435,Juzgado Quinto de Pequeñas Causas y Competencias Múltiples,363,,
0.911,682,JUZGADO SÉPTIMO CIVIL MUNICIPAL DE TULUÁ,JUZGADO,217,Tuluá,Valle del Cauca,455,JUZGADO SÉPTIMO CIVIL MUNICIPAL DE CALI,349,,Valle del Cauca
0.933,685,JUZGADO VEINTINUEVE CIVIL MUNICIPAL CALI,JUZGADO,215,,Valle del Cauca,517,JUZGADO VEINTINUEVE CIVIL MUNICIPAL,305,,
0.899,703,JUZGADO CATORCE CIVIL MUNICIPAL Bogotá,JUZGADO,206,Bogotá,"Bogotá, D.C.",195,JUZGADO CATORCE CIVIL MUNICIPAL,700,,
0.919,704,JUZGADO TERCERO DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE DE SOACHA,JUZGADO,205,Soacha,Cundinamarca,125,Juzgado Tercero de Pequeñas Causas y Competencia Múltiple,937,,
0.902,706,JUZGADO TREINTA Y DOS CIVIL MUNICIPAL,JUZGADO,204,,,487,JUZGADO TREINTA Y DOS CIVIL MUNICIPAL DE CALI,325,,Valle del Cauca
0.884,737,JUZGADO TERCERO DE PEQUEÑAS CAUSAS Y COMPETENCIA MULTIPLE DE NEIVA HUILA,JUZGADO,196,Neiva,Huila,125,Juzgado Tercero de Pequeñas Causas y Competencia Múltiple,937,,
0.916,746,Juzgado Treinta y Ocho Civil Municipal  Bogotá,JUZGADO,193,Bogotá,"Bogotá, D.C.",415,Juzgado Treinta y Ocho Civil Municipal,379,,
0.884,751,JUZGADO PRIMERO DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE DE SANTA MARTA,JUZGADO,192,Santa Marta,Magdalena,111,JUZGADO PRIMERO DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE,1054,,
0.934,757,Juzgado Cuarto Civil Municipal de Ejecución de Sentencias,JUZGADO,189,,,294,JUZGADO CUARTO CIVIL MUNICIPAL DE EJECUCIÓN DE SENTENCIAS DE CALI,520,,Valle del Cauca
0.886,759,JUZGADO TREINTA CIVIL MUNICIPAL,JUZGADO,189,,,609,JUZGADO TREINTA CIVIL MUNICIPAL DE CALI,249,,Valle del Cauca
0.902,777,Juzgado Sexto de Pequeñas Causas y Competencia Múltiple de Montería,JUZGADO,183,Montería,Córdoba,143,JUZGADO SEXTO DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE,897,,
0.920,778,JUZGADO PRIMERO MUNICIPAL DE PEQUEÑAS CAUSAS LABORALES,JUZGADO,182,,,629,JUZGADO MUNICIPAL DE PEQUEÑAS CAUSAS LABORALES,239,,
0.914,788,JUZGADO TERCERO CIVIL MUNICIPAL DE JAMUNDI,JUZGADO,180,Jamundí,Valle del Cauca,288,JUZGADO TERCERO CIVIL MUNICIPAL DE CALI,526,,Valle del Cauca
0.927,785,Juzgado Diecisiete de Pequeñas Causas y Competencias Múltiples Distrito Judicial de,JUZGADO,180,,,291,Juzgado Diecisiete de Pequeñas Causas y Competencias Múltiples Distrito Judicial de Barranquilla,524,Barranquilla,Atlántico
0.958,790,JUZGADO VEINTITRÉS 23 CIVIL MUNICIPAL,JUZGADO,178,,,586,JUZGADO VEINTITRES CIVIL MUNICIPAL,262,,
0.900,794,JUZGADO VEINTICUATRO CIVIL MUNICIPAL DE CALI,JUZGADO,177,,Valle del Cauca,76,JUZGADO VEINTICUATRO CIVIL MUNICIPAL,1435,,
0.916,795,JUZGADO 46 DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE,JUZGADO,177,,,595,JUZGADO DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE - TULUÁ,256,Tuluá,Valle del Cauca
0.935,808,JUZGADO SEGUNDO CIVIL MUNICIPAL DE EJECUCIÓN DE SENTENCIAS,JUZGADO,173,,,693,JUZGADO SEGUNDO CIVIL MUNICIPAL DE EJECUCIÓN DE SENTENCIAS DE CALI,211,,Valle del Cauca
0.912,816,Juzgado Segundo Civil Municipal Tuluá,JUZGADO,171,Tuluá,Valle del Cauca,24,JUZGADO SEGUNDO CIVIL MUNICIPAL,4110,,
0.883,817,JUZGADO PRIMERO CIVIL DEL CIRCUITO DE YOPAL,JUZGADO,171,Yopal,Casanare,97,Juzgado Primero Civil Del Circuito,1194,,
0.933,837,JUZGADO QUINTO DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE DE CALI,JUZGADO,166,,Valle del Cauca,49,JUZGADO QUINTO DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE,2036,,
0.864,841,SECRETARÍA DE TRÁNSITO Y TRANSPORTE DE GUADUAS,SECRETARIA,165,Guaduas,Cundinamarca,513,Secretaria de Tránsito y Transporte,309,,
0.933,844,Juzgado Sexto Civil Municipal de Ejecución de Sentencias,JUZGADO,163,,,254,JUZGADO SEXTO CIVIL MUNICIPAL DE EJECUCION DE SENTENCIAS DE CALI,577,,Valle del Cauca
0.918,851,JUZGADO SESENTA Y NUEVE CIVIL MUNICIPAL BOGOTA,JUZGADO,163,Bogotá,"Bogotá, D.C.",299,JUZGADO SESENTA Y NUEVE CIVIL MUNICIPAL,513,,
0.884,852,JUZGADO PRIMERO DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE DE BUCARAMANGA,JUZGADO,163,Bucaramanga,Santander,111,JUZGADO PRIMERO DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE,1054,,
0.885,867,JUZGADO MUNICIPAL DE PEQUEÑAS CAUSAS LABORALES SANTA MARTA,JUZGADO,159,Santa Marta,Magdalena,629,JUZGADO MUNICIPAL DE PEQUEÑAS CAUSAS LABORALES,239,,
0.896,871,JUZGADO CUARTO ( 04 ) DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE DE SOACHA,JUZGADO,158,Soacha,Cundinamarca,149,Juzgado Cuarto de Pequeñas Causas y Competencia Múltiple,860,,
1.000,872,JUZGADO ( 40 ) DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE DE BOGOTÁ D.C.,JUZGADO,158,Bogotá D.C.,Cundinamarca,39,JUZGADO 40 DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE DE BOGOTÁ D.C,2449,Bogotá D.C.,Cundinamarca
0.882,879,Juzgado Cuarto de Pequeñas Causas y Competencia Múltiple de Santa Marta,JUZGADO,156,Santa Marta,Magdalena,149,Juzgado Cuarto de Pequeñas Causas y Competencia Múltiple,860,,
0.882,886,"JUZGADO TRECE CIVIL MUNICIPAL DE ORALIDAD  BOGOTÁ , D. C.",JUZGADO,154,Bogotá,"Bogotá, D.C.",190,JUZGADO TRECE CIVIL MUNICIPAL DE ORALIDAD,712,,
0.898,895,JUZGADO CUARENTA CIVIL MUNICIPAL DE ORALIDAD DE BOGOTA,JUZGADO,153,Bogotá,"Bogotá, D.C.",607,JUZGADO CUARENTA CIVIL MUNICIPAL DE ORALIDAD,249,,
0.898,908,JUZGADO PRIMERO DE PEQUEÑAS CAUSAS Y COMPETENCIA MULTIPLE DE SINCELEJO,JUZGADO,150,Sincelejo,Sucre,111,JUZGADO PRIMERO DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE,1054,,
0.882,907,Consejo Superior de la Judicatura Dirección Seccional de Administración Judicial de Bogotá,RAMA_JUDICIAL,150,Bogotá,"Bogotá, D.C.",174,Consejo Superior de la Judicatura Dirección Ejecutiva de Administración Judicial,794,,
0.939,919,JUZGADO 55 CIVIL MUNICIPAL,JUZGADO,148,,,249,Juzgado Civil Municipal,582,,
0.905,926,Juzgado Sexto de Pequeñas Causas y Competencias Múltiples de Montería,JUZGADO,148,Montería,Córdoba,618,JUZGADO SEXTO DE PEQUEÑAS CAUSAS Y COMPETENCIAS MÚLTIPLES,245,,
0.885,932,JUZGADO CUARTO PROMISCUO MUNICIPAL,JUZGADO,146,,,26,JUZGADO PROMISCUO MUNICIPAL,3699,,
0.893,930,Juzgado Sesenta Y Ocho 68 Civil Municipal De Oralidad Transitoriamente Juzgado Cincuenta 50 De Pequeñas Causas Y Competencia Múltiple,JUZGADO,146,,,205,Juzgado Sesenta Y Ocho ( 68 ) Civil Municipal De Oralidad Transitoriamente Juzgado Cincuenta ( 50 ) De Pequeñas Causas Y Competencia Múltiple Del Distrito Judicial De Bogotá,673,Bogotá,"Bogotá, D.C."
0.910,942,JUZGADO VEINTICUATRO 24 CIVIL DE PEQUEÑAS CAUSAS Y COMPETENCIA MULTIPLE,JUZGADO,143,,,351,JUZGADO VEINTICUATRO ( 24 ) CIVIL DE PEQUEÑAS CAUSAS Y COMPETENCIA MULTIPLE DE BOGOTA D.C.,446,Bogotá D.C.,Cundinamarca
0.891,947,JUZGADO CINCUENTA Y NUEVE CIVIL MUNICIPAL DE BOGOTA,JUZGADO,142,Bogotá,"Bogotá, D.C.",760,JUZGADO CINCUENTA Y NUEVE CIVIL MUNICIPAL,188,,
0.925,952,JUZGADO SEGUNDO CIVIL MUNICIPAL CALI,JUZGADO,141,,Valle del Cauca,24,JUZGADO SEGUNDO CIVIL MUNICIPAL,4110,,
0.916,966,JUZGADO 39 DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE,JUZGADO,138,,,595,JUZGADO DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE - TULUÁ,256,Tuluá,Valle del Cauca
0.927,968,JUZGADO PRIMERO DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE DE PASTO,JUZGADO,138,Pasto,Nariño,111,JUZGADO PRIMERO DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE,1054,,
0.897,973,Juzgado Primero Civil Municipal Santiago de Cali,JUZGADO,137,Cali,Valle del Cauca,467,Juzgado Primero Civil Municipal de Cali,339,,Valle del Cauca
0.889,974,JUZGADO PRIMERO LABORAL DEL CIRCUITO de Ocaña,JUZGADO,136,Ocaña,Norte de Santander,320,Juzgado Primero Laboral del Circuito,490,,
0.933,984,JUZGADO CUARTO DE PEQUEÑAS CAUSAS Y COMPETENCIA MULTIPLE POPAYÁN,JUZGADO,134,Popayán,Cauca,149,Juzgado Cuarto de Pequeñas Causas y Competencia Múltiple,860,,
0.885,985,JUZGADO PRIMERO MUNICIPAL DE PEQUEÑAS CAUSAS LABORALES POPAYAN CAUCA,JUZGADO,134,Popayán,Cauca,778,JUZGADO PRIMERO MUNICIPAL DE PEQUEÑAS CAUSAS LABORALES,182,,
0.889,1003,Corporación Autónoma Regional del Tolima,CAR,130,,Tolima,822,Corporación Autónoma Regional del Tolima CORTOLIMA,170,,Tolima
0.882,1009,JUZGADO QUINCE CIVIL MUNICIPAL DE CALI,JUZGADO,129,,Valle del Cauca,279,Juzgado Quince Civil Municipal,541,,
0.889,1018,JUZGADO PRIMERO LABORAL DEL CIRCUITO DE NEIVA,JUZGADO,127,Neiva,Huila,320,Juzgado Primero Laboral del Circuito,490,,
0.909,1029,JUZGADO TREINTA Y CUATRO CIVIL MUNICIPAL DE CALI,JUZGADO,125,,Valle del Cauca,405,JUZGADO TREINTA Y CUATRO CIVIL MUNICIPAL,394,,
0.891,1032,JUZGADO TRECE DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE,JUZGADO,124,,,595,JUZGADO DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE - TULUÁ,256,Tuluá,Valle del Cauca
0.942,1041,JUZGADO DOCE 12 DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE BOGOTA,JUZGADO,123,Bogotá,"Bogotá, D.C.",271,JUZGADO DOCE 12 DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE,547,,
0.890,1040,JUZGADO TERCERO MUNICIPAL DE PEQUEÑAS CAUSAS Y COMPETENCIAS MÚLTIPLES,JUZGADO,123,,,646,JUZGADO TERCERO MUNICIPAL DE PEQUEÑAS CAUSAS Y COMPETENCIAS MÚLTIPLES MONTERÍA - CÓRDOBA,234,Montería,Córdoba
0.891,1052,JUZGADO PRIMERO DE PEQUEÑAS CAUSAS Y COMPETENCIA MULTIPLE IBAGUÉ TOLIMA,JUZGADO,120,Ibagué,Tolima,111,JUZGADO PRIMERO DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE,1054,,
0.926,1059,JUZGADO VEINTIOCHO 28 DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE DE BOGOTA,JUZGADO,119,Bogotá,"Bogotá, D.C.",362,JUZGADO VEINTIOCHO 28 DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE,431,,
0.891,1061,JUZGADO PRIMERO DE PEQUEÑAS CAUSAS Y COMPETENCIA MULTIPLE DE VALLEDUPAR,JUZGADO,118,Valledupar,Cesar,111,JUZGADO PRIMERO DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE,1054,,
