municipio_id,nombre_municipio,departamento
755,Somondoco,Boyacá
756,Sonsón,Antioquia
757,Soplaviento,Bolívar
758,Sopó,Cundinamarca
759,Sora,Boyacá
760,Soracá,Boyacá
761,Sotaquirá,Boyacá
762,Suaita,Santander
763,Suaza,Huila
764,Subachoque,Cundinamarca
765,Suesca,Cundinamarca
766,Supía,Caldas
767,Suratá,Santander
768,Susa,Cundinamarca
769,Susacón,Boyacá
770,Sutamarchán,Boyacá
771,Sutatausa,Cundinamarca
772,Suán,Atlántico
773,Suárez,Cauca
774,Sácama,Casanare
775,Sáchica,Boyacá
776,Tabio,Cundinamarca
777,Tadó,Chocó
778,Talaigua Nuevo,Bolívar
779,Tamalameque,Cesar
780,Tame,Arauca
781,Taminango,Nariño
782,Tangua,Nariño
783,Tarazá,Antioquia
784,Tarqui,Huila
785,Tasco,Boyacá
786,Tauramena,Casanare
787,Tausa,Cundinamarca
788,Tello,Huila
789,Tena,Cundinamarca
790,Tenerife,Magdalena
791,Tenjo,Cundinamarca
792,Teorama,Norte de Santander
793,Teruel,Huila
794,Tesalia,Huila
795,Tibacuy,Cundinamarca
796,Tibaná,Boyacá
797,Tibasosa,Boyacá
798,Tibirita,Cundinamarca
799,Tibú,Norte de Santander
800,Tierralta,Córdoba
801,Timaná,Huila
802,Timbiquí,Cauca
803,Timbío,Cauca
804,Tinjacá,Boyacá
805,Tipacoque,Boyacá
806,Tiquisio,Bolívar
807,Tocaima,Cundinamarca
808,Tocancipá,Cundinamarca
809,Toledo,Antioquia
810,Tolú Viejo,Sucre
811,Tona,Santander
812,Topaipí,Cundinamarca
813,Toribío,Cauca
814,Toro,Valle del Cauca
815,Tota,Boyacá
816,Trinidad,Casanare
817,Trujillo,Valle del Cauca
818,Tubará,Atlántico
819,Tuchín,Córdoba
820,Tuluá,Valle del Cauca
821,Tumaco,Nariño
822,Tunja,Boyacá
823,Turbaco,Bolívar
824,Turbaná,Bolívar
825,Turbo,Antioquia
826,Turmequé,Boyacá
827,Tuta,Boyacá
828,Tutazá,Boyacá
829,Támara,Casanare
830,Támesis,Antioquia
831,Tópaga,Boyacá
832,Túquerres,Nariño
833,Ubalá,Cundinamarca
834,Ubaque,Cundinamarca
835,Ubaté,Cundinamarca
836,Ulloa,Valle del Cauca
837,Une,Cundinamarca
838,Unguía,Chocó
839,Unión Panamericana,Chocó
840,Uramita,Antioquia
841,Uribia,La Guajira
842,Urrao,Antioquia
843,Urumita,La Guajira
844,Usiacurí,Atlántico
845,Valencia,Córdoba
846,Valle de San José,Santander
847,Valle de San Juan,Tolima
848,Valle del Guamuez,Putumayo
849,Valledupar,Cesar
850,Venadillo,Tolima
851,Venecia,Cundinamarca
852,Ventaquemada,Boyacá
853,Versalles,Valle del Cauca
854,Vetas,Santander
855,Vianí,Cundinamarca
856,Victoria,Caldas
857,Vigía del Fuerte,Antioquia
858,Vijes,Valle del Cauca
859,Villa Rica,Cauca
860,Villa de Leyva,Boyacá
861,Villa del Rosario,Norte de Santander
862,Villagarzón,Putumayo
863,Villagómez,Cundinamarca
864,Villamaría,Caldas
865,Villanueva,Casanare
866,Villanueva,La Guajira
867,Villapinzón,Cundinamarca
868,Villavicencio,Meta
869,Villavieja,Huila
870,Villeta,Cundinamarca
871,Viotá,Cundinamarca
872,Viracachá,Boyacá
873,Vista Hermosa,Meta
874,Viterbo,Caldas
875,Vélez,Santander
876,Yacopí,Cundinamarca
877,Yacuanquer,Nariño
878,Yaguará,Huila
879,Yolombó,Antioquia
880,Yondó,Antioquia
881,Yopal,Casanare
882,Yotoco,Valle del Cauca
883,Yumbo,Valle del Cauca
884,Zambrano,Bolívar
885,Zapatoca,Santander
886,Zapayán,Magdalena
887,Zarzal,Valle del Cauca
888,Zetaquira,Boyacá
889,Zipacón,Cundinamarca
890,Zipaquirá,Cundinamarca
891,Zona Bananera,Magdalena
892,Ábrego,Norte de Santander
893,Íquira,Huila
894,Útica,Cundinamarca
